Size,Run,MergeTime,RadixTime,MergeSwaps,RadixSwaps,MergeIterations,RadixIterations
1000,3.0,1.0,0.8,4306.4,6000.0,21951.0,19059.0
10000,3.0,5.2,5.6,59138.6,60000.0,287231.0,190059.0
100000,3.0,35.4,31.8,759815.4,600000.0,3537855.0,1900059.0
500000,3.0,164.4,109.0,4389567.0,3000000.0,19951423.0,9500059.0
1000000,3.0,206.6,105.8,9278886.6,6000000.0,41902847.0,19000059.0
